,event,projection,event category
0,kiss,-0.7533050000000001,punctive count
1,wink,-0.6357400000000003,punctive count
2,hug,0.25759,punctive count
3,shake,-0.33234500000000006,punctive count
4,cuddle,0.15037499999999998,punctive count
5,address,-0.4232675,durative count
6,kick,-0.6861550000000002,punctive count
7,speech,-0.379055,durative count
8,lecture,0.5168699999999999,durative count
9,presentation,0.1841,durative count
10,talk,0.00865,durative count
11,check,-0.9607550000000001,durative count
12,thanks,0.46464250000000007,durative mass
13,recognition,0.04577000000000002,durative mass
14,assurance,-0.7162449999999999,durative mass
15,support,0.208345,durative mass
16,encouragement,0.37647749999999996,durative mass
17,advice,0.3862475,durative mass
